customer_id_legacy,transaction_id,purchase_amount,customer_rating,purchase_amount_noisy,purchase_date,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment,customer_engagement_score,moving_avg_purchase,purchase_month,monthly_total_spend,monthly_avg_spend,product_category_Books,product_category_Clothing,product_category_Electronics,product_category_Groceries,product_category_Sports,avg_spent_last_3
151.0,1001.0,408.0,2.3,447.9708143123237,2024-01-01,A176,Facebook,70.0,3.3,Negative,43.32,408.0,2024-01,408.0,408.0,False,False,False,False,True,408.0
192.0,1002.0,332.0,4.2,349.67476673651777,2024-01-02,A156,Instagram,52.0,4.9,Positive,33.16,332.0,2024-01,332.0,332.0,False,False,True,False,False,332.0
114.0,1003.0,442.0,2.1,408.46797839277207,2024-01-03,A171,Unknown,78.0,3.5,Neutral,48.199999999999996,442.0,2024-01,885.7166725484813,442.8583362742406,False,False,True,False,False,442.0
171.0,1004.0,256.0,2.8,242.96534946215436,2024-01-04,,Unknown,78.0,3.5,Neutral,48.199999999999996,256.0,2024-01,256.0,256.0,False,True,False,False,False,256.0
160.0,1005.0,64.0,1.3,62.841504780418624,2024-01-05,,Unknown,78.0,3.5,Neutral,48.199999999999996,64.0,2024-01,64.0,64.0,False,True,False,False,False,64.0
120.0,1006.0,395.0,1.1,387.86378650850565,2024-01-06,A159,Unknown,78.0,3.5,Neutral,48.199999999999996,395.0,2024-01,480.0,240.0,False,False,False,True,False,395.0
182.0,1007.0,91.0,4.9,85.86849522983222,2024-01-07,A193,TikTok,69.0,2.6,Negative,42.44,91.0,2024-01,91.0,91.0,False,False,False,False,True,91.0
186.0,1008.0,429.0,4.3,405.0730184738291,2024-01-08,A160,TikTok,56.0,2.6,Positive,34.64,429.0,2024-01,2523.963762487163,420.6606270811938,False,True,False,False,False,429.0
186.0,1008.0,429.0,4.3,405.0730184738291,2024-01-08,A160,LinkedIn,73.0,2.0,Neutral,44.599999999999994,429.0,2024-01,2523.963762487163,420.6606270811938,False,True,False,False,False,429.0
186.0,1008.0,429.0,4.3,405.0730184738291,2024-01-08,A160,Instagram,89.0,2.9,Neutral,54.559999999999995,429.0,2024-01,2523.963762487163,420.6606270811938,False,True,False,False,False,429.0
174.0,1009.0,228.0,3.8,241.21177220419224,2024-01-09,A148,Facebook,75.0,1.7,Neutral,45.68,228.0,2024-01,443.88550984051017,147.96183661350338,False,False,True,False,False,228.0
174.0,1010.0,112.0,2.6,110.8119698967222,2024-01-10,A148,Facebook,75.0,1.7,Neutral,45.68,170.0,2024-01,443.88550984051017,147.96183661350338,False,False,False,False,True,170.0
187.0,1011.0,401.0,1.7,398.24497470530775,2024-01-11,A124,TikTok,75.0,4.6,Neutral,46.84,401.0,2024-01,3682.9694457095484,409.2188273010609,False,False,False,False,True,401.0
187.0,1011.0,401.0,1.7,398.24497470530775,2024-01-11,A124,Facebook,95.0,3.7,Positive,58.48,401.0,2024-01,3682.9694457095484,409.2188273010609,False,False,False,False,True,401.0
187.0,1011.0,401.0,1.7,398.24497470530775,2024-01-11,A124,LinkedIn,77.0,3.2,Positive,47.48,401.0,2024-01,3682.9694457095484,409.2188273010609,False,False,False,False,True,401.0
199.0,1012.0,280.0,1.6,302.64186607021463,2024-01-12,A178,LinkedIn,74.0,4.9,Positive,46.36,280.0,2024-01,840.0,280.0,False,False,True,False,False,280.0
199.0,1012.0,280.0,1.6,302.64186607021463,2024-01-12,A178,LinkedIn,53.0,1.5,Neutral,32.4,280.0,2024-01,840.0,280.0,False,False,True,False,False,280.0
199.0,1012.0,280.0,1.6,302.64186607021463,2024-01-12,A178,TikTok,68.0,3.5,Negative,42.199999999999996,280.0,2024-01,840.0,280.0,False,False,True,False,False,280.0
123.0,1013.0,290.0,2.0,281.2141843863204,2024-01-13,,Unknown,78.0,3.5,Neutral,48.199999999999996,290.0,2024-01,860.191665201754,286.7305550672513,False,True,False,False,False,290.0
102.0,1014.0,101.0,3.2,105.16530472249462,2024-01-14,,Unknown,78.0,3.5,Neutral,48.199999999999996,101.0,2024-01,198.16325291588552,99.08162645794276,False,False,True,False,False,101.0
121.0,1015.0,145.0,3.9,143.38783815441127,2024-01-15,A185,TikTok,90.0,3.4,Neutral,55.36,145.0,2024-01,2064.383687576318,172.03197396469318,False,False,False,False,True,145.0
121.0,1015.0,145.0,3.9,143.38783815441127,2024-01-15,A185,Facebook,78.0,2.4,Positive,47.76,145.0,2024-01,2064.383687576318,172.03197396469318,False,False,False,False,True,145.0
121.0,1015.0,145.0,3.9,143.38783815441127,2024-01-15,A185,TikTok,59.0,3.6,Positive,36.839999999999996,145.0,2024-01,2064.383687576318,172.03197396469318,False,False,False,False,True,145.0
121.0,1015.0,145.0,3.9,143.38783815441127,2024-01-15,A185,TikTok,50.0,1.5,Negative,30.6,145.0,2024-01,2064.383687576318,172.03197396469318,False,False,False,False,True,145.0
152.0,1016.0,437.0,3.6,410.08419514023205,2024-01-16,A152,Facebook,95.0,4.1,Positive,58.64,437.0,2024-01,874.0,437.0,True,False,False,False,False,437.0
152.0,1016.0,437.0,3.6,410.08419514023205,2024-01-16,A152,Instagram,81.0,4.2,Positive,50.28,437.0,2024-01,874.0,437.0,True,False,False,False,False,437.0
