purchase_amount,customer_rating,engagement_score,purchase_interest_score,customer_engagement_score,monthly_total_spend,monthly_avg_spend,avg_spent_last_3,transaction_id,customer_id_legacy,purchase_date,social_media_platform,review_sentiment
408.0,2.3,70.0,3.3,43.32,787.9317071545098,393.9658535772549,408.0,1001.0,151.0,2024-01-01,Facebook,Negative
332.0,4.2,52.0,4.9,33.16,665.6570985196702,332.8285492598351,332.0,1002.0,192.0,2024-01-02,Instagram,Positive
442.0,2.1,77.0,3.65,47.66,442.0,442.0,442.0,1003.0,114.0,2024-01-03,Unknown,Neutral
256.0,2.8,77.0,3.65,47.66,754.3922961654848,251.46409872182824,256.0,1004.0,171.0,2024-01-04,Unknown,Neutral
64.0,1.3,77.0,3.65,47.66,122.56506280162256,61.28253140081129,64.0,1005.0,160.0,2024-01-05,Unknown,Neutral
395.0,1.1,77.0,3.65,47.66,480.0,240.0,395.0,1006.0,120.0,2024-01-06,Unknown,Neutral
91.0,4.9,69.0,2.6,42.44,91.0,91.0,91.0,1007.0,182.0,2024-01-07,TikTok,Negative
429.0,4.3,56.0,2.6,34.64,1287.0,429.0,429.0,1008.0,186.0,2024-01-08,TikTok,Positive
429.0,4.3,73.0,2.0,44.6,1287.0,429.0,429.0,1008.0,186.0,2024-01-08,LinkedIn,Neutral
429.0,4.3,89.0,2.9,54.56,1287.0,429.0,429.0,1008.0,186.0,2024-01-08,Instagram,Neutral
228.0,3.8,75.0,1.7,45.68,340.0,170.0,228.0,1009.0,174.0,2024-01-09,Facebook,Neutral
112.0,2.6,75.0,1.7,45.68,340.0,170.0,170.0,1010.0,174.0,2024-01-10,Facebook,Neutral
401.0,1.7,75.0,4.6,46.84,3908.2416824257457,434.24907582508285,401.0,1011.0,187.0,2024-01-11,TikTok,Neutral
401.0,1.7,95.0,3.7,58.48,3908.2416824257457,434.24907582508285,401.0,1011.0,187.0,2024-01-11,Facebook,Positive
401.0,1.7,77.0,3.2,47.48,3908.2416824257457,434.24907582508285,401.0,1011.0,187.0,2024-01-11,LinkedIn,Positive
280.0,1.6,74.0,4.9,46.36,840.0,280.0,280.0,1012.0,199.0,2024-01-12,LinkedIn,Positive
280.0,1.6,53.0,1.5,32.4,840.0,280.0,280.0,1012.0,199.0,2024-01-12,LinkedIn,Neutral
280.0,1.6,68.0,3.5,42.2,840.0,280.0,280.0,1012.0,199.0,2024-01-12,TikTok,Negative
290.0,2.0,77.0,3.65,47.66,562.4794892412976,281.2397446206488,290.0,1013.0,123.0,2024-01-13,Unknown,Neutral
101.0,3.2,77.0,3.65,47.66,101.0,101.0,101.0,1014.0,102.0,2024-01-14,Unknown,Neutral
145.0,3.9,90.0,3.4,55.36,1524.0,190.5,145.0,1015.0,121.0,2024-01-15,TikTok,Neutral
145.0,3.9,78.0,2.4,47.76,1524.0,190.5,145.0,1015.0,121.0,2024-01-15,Facebook,Positive
145.0,3.9,59.0,3.6,36.84,1524.0,190.5,145.0,1015.0,121.0,2024-01-15,TikTok,Positive
145.0,3.9,50.0,1.5,30.6,1524.0,190.5,145.0,1015.0,121.0,2024-01-15,TikTok,Negative
437.0,3.6,95.0,4.1,58.64,1820.823900871676,455.205975217919,437.0,1016.0,152.0,2024-01-16,Facebook,Positive
437.0,3.6,81.0,4.2,50.28,1820.823900871676,455.205975217919,437.0,1016.0,152.0,2024-01-16,Instagram,Positive
271.0,2.1,78.0,1.1,47.24,2315.0,231.5,271.0,1017.0,101.0,2024-01-17,Twitter,Negative
271.0,2.1,89.0,2.4,54.36,2315.0,231.5,271.0,1017.0,101.0,2024-01-17,LinkedIn,Neutral
271.0,2.1,81.0,4.6,50.44,2315.0,231.5,271.0,1017.0,101.0,2024-01-17,Instagram,Neutral
271.0,2.1,83.0,1.2,50.28,2315.0,231.5,271.0,1017.0,101.0,2024-01-17,TikTok,Negative
456.0,4.8,75.0,4.6,46.84,3908.2416824257457,434.24907582508285,419.3333333333333,1018.0,187.0,2024-01-18,TikTok,Neutral
456.0,4.8,95.0,3.7,58.48,3908.2416824257457,434.24907582508285,437.6666666666667,1018.0,187.0,2024-01-18,Facebook,Positive
456.0,4.8,77.0,3.2,47.48,3908.2416824257457,434.24907582508285,456.0,1018.0,187.0,2024-01-18,LinkedIn,Positive
280.0,4.0,87.0,4.8,54.12,280.0,280.0,280.0,1019.0,129.0,2024-01-19,Facebook,Negative
286.0,3.2,51.0,1.3,31.12,286.0,286.0,286.0,1020.0,137.0,2024-01-20,Facebook,Positive
192.0,3.4,78.0,1.1,47.24,2315.0,231.5,244.66666666666663,1021.0,101.0,2024-01-21,Twitter,Negative
192.0,3.4,89.0,2.4,54.36,2315.0,231.5,218.33333333333331,1021.0,101.0,2024-01-21,LinkedIn,Neutral
192.0,3.4,81.0,4.6,50.44,2315.0,231.5,192.0,1021.0,101.0,2024-01-21,Instagram,Neutral
192.0,3.4,83.0,1.2,50.28,2315.0,231.5,192.0,1021.0,101.0,2024-01-21,TikTok,Negative
192.0,3.4,78.0,1.1,47.24,2315.0,231.5,192.0,1021.0,101.0,2024-01-21,Twitter,Negative
220.0,2.7,57.0,3.8,35.72,440.0,220.0,220.0,1022.0,163.0,2024-01-22,Facebook,Negative
220.0,2.7,98.0,2.1,59.64,440.0,220.0,220.0,1022.0,163.0,2024-01-22,LinkedIn,Negative
78.0,2.0,77.0,3.65,47.66,157.22711422941953,78.61355711470976,78.0,1023.0,159.0,2024-01-23,Unknown,Neutral
85.0,2.4,77.0,3.65,47.66,480.0,240.0,240.0,1024.0,120.0,2024-01-24,Unknown,Neutral
62.0,4.0,77.0,3.65,47.66,62.0,62.0,62.0,1025.0,132.0,2024-01-25,Unknown,Neutral
209.0,1.1,70.0,3.3,43.32,209.0,209.0,209.0,1026.0,175.0,2024-01-26,Facebook,Negative
376.0,1.5,60.0,4.4,37.76,376.0,376.0,376.0,1027.0,157.0,2024-01-27,LinkedIn,Positive
236.0,1.2,90.0,3.4,55.36,1524.0,190.5,175.33333333333334,1028.0,121.0,2024-01-28,TikTok,Neutral
236.0,1.2,78.0,2.4,47.76,1524.0,190.5,205.66666666666663,1028.0,121.0,2024-01-28,Facebook,Positive
236.0,1.2,59.0,3.6,36.84,1524.0,190.5,236.0,1028.0,121.0,2024-01-28,TikTok,Positive
236.0,1.2,50.0,1.5,30.6,1524.0,190.5,236.0,1028.0,121.0,2024-01-28,TikTok,Negative
292.0,1.2,60.0,4.3,37.72,292.0,292.0,292.0,1029.0,188.0,2024-01-29,Instagram,Positive
135.0,4.4,77.0,3.65,47.66,135.0,135.0,135.0,1030.0,148.0,2024-01-30,Unknown,Neutral
333.0,3.8,72.0,1.9,43.96,999.0,333.0,333.0,1031.0,190.0,2024-01-31,Twitter,Positive
333.0,3.8,71.0,4.8,44.52,999.0,333.0,333.0,1031.0,190.0,2024-01-31,Twitter,Negative
333.0,3.8,52.0,2.7,32.28,999.0,333.0,333.0,1031.0,190.0,2024-01-31,Instagram,Positive
115.0,2.9,75.0,3.1,46.24,230.0,115.0,115.0,1032.0,158.0,2024-02-01,TikTok,Neutral
115.0,2.9,98.0,4.3,60.52,230.0,115.0,115.0,1032.0,158.0,2024-02-01,Facebook,Negative
219.0,1.4,96.0,1.9,58.35999999999999,657.0,219.0,219.0,1033.0,141.0,2024-02-02,Twitter,Neutral
